UnitID,UnitName,Latitude,Longitude
1793,Kamakshipalya Traffic PS,12.9820385,77.53305054
1794,Yelahanka Traffic PS,13.09499168,77.59413147
1795,Kumaraswamy Layout Traffic PS,12.90116882,77.5442276
1796,HSR Layout PS,12.92010021,77.65139771
1797,Channammanakere Achu Kattu PS,12.93013382,77.56059265
1798,Hulimavu PS,12.87662792,77.60001373
1799,Electronic City PS,12.84028053,77.66306305
1800,Parappana Agrahara PS,12.87733078,77.66729736
1801,Handanakere PS,13.50304794,76.44750977
1802,Mico Layout Sub-Division,12.92844963,77.59494782
1803,Subramanyapura Sub Division,12.92930603,77.56790161
1804,DCP SouthEast Division,NULL,NULL
1805,Pavagada Rural Circle,NULL,NULL
1806,Badavanahalli PS,13.67582035,77.06479645
1807,Chickballapura District,NULL,NULL
1808,Ramanagara District,NULL,NULL
1809,State Intelligence,NULL,NULL
1810,Thirumalashettahalli Circle,NULL,NULL
1811,Thirumalashettahalli PS,NULL,NULL
1812,Anugondanahalli PS,NULL,NULL
1813,Vijayapura Circle,NULL,NULL
1814,Chennarayapatana PS,NULL,NULL
1815,Tunga Nagar PS,13.92375565,75.55448151
1816,Sulibele PS,13.18498707,77.7988739
1818,Amruthahally PS,13.05685806,77.59856415
1819,Arasikere Town PS,13.31234455,76.25679779
1820,BIAL PS,NULL,NULL
1822,Bagalur PS,13.14009571,77.67041016
1823,Agumbe PS,13.51090145,75.097435
1824,Shanthigrama PS,12.98507881,76.21770477
1849,ADGP Technical Services,NULL,NULL
1850,ADGP KSRP,NULL,NULL
1851,IGP FOREST CELL,NULL,NULL
1852,SP FOREST CELL,NULL,NULL
1853,IGP TRAINING,NULL,NULL
1854,AIG CRIME PRC,NULL,NULL
1855,SP MTO,NULL,NULL
1856,ADGP RECRUITMENT AND TRAINING,NULL,NULL
1857,DIGP CTRS,NULL,NULL
1858,IGP RAILWAYS,NULL,NULL
1859,Coastal Security Police,NULL,NULL
1860,IGP RAILWAYS,NULL,NULL
1861,PC MT WORKSHOP,NULL,NULL
1862,SUPERINTENDENT AND PRINCIPAL PRS,NULL,NULL
1863,ADGP TTM,NULL,NULL
1864,DIGP AND COMMANDER ANTINAXALITE,NULL,NULL
1865,Special Task Force,NULL,NULL
1866,COMMANDANT INDIA KSRP BN,NULL,NULL
1867,COMMANDANT MOUNTED KARP,NULL,NULL
1868,Battalion XI - Hassan,NULL,NULL
1869,DCP North East Division,13.05854797,77.58416748
1870,Yelahanka Sub-Division,13.09492397,77.59412384
1871,Devanahalli Sub-Division,13.24546814,77.71222687
1872,Sampigehalli Sub-Division,13.07453823,77.63322449
1873,Kodigehalli PS,13.06210423,77.57406616
1874,Sampigehalli PS,13.07542992,77.63343048
1875,Kothanur PS,13.05553341,77.64646912
1877,Rajarajeshwari Nagar PS,12.912817,77.52055359
1878,Vishwanathapura PS,13.27904797,77.62286377
1879,RAMANAGARA DAR,NULL,NULL
1880,CHIKKABALLAPURA DAR,NULL,NULL
1881,Hampi Sub-Division,NULL,NULL
1882,Hadagali Sub-Division,NULL,NULL
1883,Hampi Tourism PS,15.33429146,76.4662323
1884,Hampi Traffic PS,15.33420754,76.46656799
1885,Chigateri PS,14.79228497,76.074646
1886,Shikaripura Rural PS,14.27337647,75.34886169
1887,Vinobanagara PS,13.95052719,75.560112
1888,Navanagara PS,16.15911484,75.66138458
1889,Nagamangala Rural PS,12.83088112,76.7588501
1890,Jayapura PS,13.40330315,75.37373352
1891,Mallanduru PS,13.3698101,75.65591431
1892,Kundapura Sub-Division,13.61845589,74.69171906
1893,Kuduthini PS,15.19939613,76.76851654
1894,Yadgir District,NULL,NULL
1895,Whitefield Traffic PS,12.99424744,77.757164
1896,Electronic City Traffic PS,12.83919144,77.66178131
1897,North East Traffic Sub Division,13.09536743,77.5942688
1898,Chikkajala Traffic PS,13.07066441,77.63626099
1899,Devanahalli Traffic PS,13.24542809,77.71250916
1900,Nagara PS,13.81832981,75.02961731
1901,APMC Navanagar,15.39274406,75.08151245
1902,Kundapura Traffic PS,13.63696003,74.68910217
1903,IGP Internal Security,NULL,NULL
